Date,Author,Upside (%),Tier
2025-05-06,Geojit BNP Paribas,12.60,Tier 2
2025-04-23,KRChoksey,6.64,Tier 2
2025-04-21,BOB Capital Markets Ltd.,13.67,Tier 2
2025-04-21,Prabhudas Lilladhar,9.15,Tier 2
2025-04-21,Axis Direct,15.57,Tier 2
2025-04-20,Emkay,13.01,Tier 2
2025-04-20,ICICI Securities Limited,13.01,Tier 1
2025-04-20,Motilal Oswal,13.01,Tier 1
2025-04-20,IDBI Capital,13.01,Tier 2
2025-04-19,Sharekhan,18.14,Tier 2
