Company Name,URL
Orissa Bengal Carrier,https://trendlyne.com/equity/87860/OBCL/orissa-bengal-carrier-ltd/
VMS Industries,https://trendlyne.com/equity/3911/VMS/vms-industries-ltd/
Patel Integrated,https://trendlyne.com/equity/1011/PATINTLOG/patel-integrated-logistics-ltd/
Chartered Logistics,https://trendlyne.com/equity/3754/CHLOGIST/chartered-logistics-ltd/
Laxmipati Engineering,https://trendlyne.com/equity/4015/SIVI/laxmipati-engineering-works-ltd/
Voler Car,https://trendlyne.com/equity/2974676/VOLERCAR/voler-car-ltd/
Iware Supplychain Services,https://trendlyne.com/equity/3082277/IWARE/iware-supplychain-services-ltd/
Chowgule Steamships,https://trendlyne.com/equity/2112/CHOWGULSTM/chowgule-steamships-ltd/
Kesar Terminals,https://trendlyne.com/equity/774/KTIL/kesar-terminals-infrastructure-ltd/
Ashapura Logistics,https://trendlyne.com/equity/2470256/ASHALOG/ashapura-logistics-ltd/
Deccan Transcon Leasing Ltd.,https://trendlyne.com/equity/2629535/DECCANTRAN/deccan-transcon-leasing-ltd/
Brace Port Logistics,https://trendlyne.com/equity/2534279/BRACEPORT/brace-port-logistics-ltd/
Starlog Enterprises,https://trendlyne.com/equity/2839/ABGHEAVY/starlog-enterprises-ltd/
Shreeji Translogistics,https://trendlyne.com/equity/83531/540738/shreeji-translogistics-ltd/
Hariyana Ship-Breakers,https://trendlyne.com/equity/3222/HRYNSHP/hariyana-ship-breakers-ltd/
East West Freight,https://trendlyne.com/equity/4744/BULL/east-west-freight-carriers-ltd/
Jet Freight Logistics,https://trendlyne.com/equity/87871/JETFREIGHT/jet-freight-logistics-ltd/
Arshiya,https://trendlyne.com/equity/103/ARSHIYA/arshiya-ltd/
Oneclick Logistics,https://trendlyne.com/equity/1715910/OLIL/oneclick-logistics-ltd/
ABC,https://trendlyne.com/equity/2834/ABCINDQ/abc-india-ltd/
Timescan Logistics,https://trendlyne.com/equity/772150/TIMESCAN/timescan-logistics-india-ltd/
Containerway International,https://trendlyne.com/equity/82698/CONTAINERWAY/containerway-international-ltd/
Cargotrans Maritime,https://trendlyne.com/equity/1055953/17160391/cargotrans-maritime-ltd/
GB Logistics Commerce Ltd.,https://trendlyne.com/equity/2934614/17160470/gb-logistics-commerce-ltd/
Balurghat Tech,https://trendlyne.com/equity/2835/BALURTRANS/balurghat-technologies-ltd/
Transvoy Logistics,https://trendlyne.com/equity/1316964/17160398/transvoy-logistics-india-ltd/
Shahi Shipping,https://trendlyne.com/equity/3150/SKSLOGLTD/shahi-shipping-ltd/
Frontline Corp,https://trendlyne.com/equity/3777/FRONTCORP/frontline-corporation-ltd/
Marinetrans,https://trendlyne.com/equity/1811370/MARINETRAN/marinetrans-india-ltd/
MFL,https://trendlyne.com/equity/3169/MFLINDIA/mfl-india-ltd/
Rapid Multimodal,https://trendlyne.com/equity/2562901/17160456/rapid-multimodal-logistics-ltd/
Cargosol Logistics,https://trendlyne.com/equity/1057570/17160392/cargosol-logistics-ltd/
Inter State Oil,https://trendlyne.com/equity/3296/INTSTOIL/inter-state-oil-carrier-ltd/
Asian Warehousing,https://trendlyne.com/equity/1517798/543927/asian-warehousing-ltd/
Garware Marine Ind,https://trendlyne.com/equity/2404/GARWAMAR/garware-marine-industries-ltd/
Jalan Transolutions,https://trendlyne.com/equity/87866/JALAN/jalan-transolutions-india-ltd/
Future Supply Chain,https://trendlyne.com/equity/68395/FSC/future-supply-chain-solutions-ltd/
Gconnect Logitech,https://trendlyne.com/equity/2163921/17160448/gconnect-logitech-and-supply-chain-ltd/
